school,domicilio,pluscode,nombre_completo,lat,lng,place_1_party,place_1_votes,place_1_percentage,place_2_party,place_2_votes,place_2_percentage,place_3_party,place_3_votes,place_3_percentage,place_4_party,place_4_votes,place_4_percentage,place_5_party,place_5_votes,place_5_percentage,place_6_party,place_6_votes,place_6_percentage,place_7_party,place_7_votes,place_7_percentage,place_8_party,place_8_votes,place_8_percentage,place_9_party,place_9_votes,place_9_percentage,place_10_party,place_10_votes,place_10_percentage,place_11_party,place_11_votes,place_11_percentage,place_12_party,place_12_votes,place_12_percentage,place_13_party,place_13_votes,place_13_percentage,place_14_party,place_14_votes,place_14_percentage,place_15_party,place_15_votes,place_15_percentage,diff_between_1_and_2,diff_norm,votes_norm,marker_size,marker_border_size,icv2010,icv_bucket
Asoc.Alborada Ens.Especial,9 DE JULIO E/CHARLONE Y BARVARD 924,7PM7+2R,ASOCIACION ALBORADA ESCUELA DE ENSEÑANZA ESPECIAL,-38.7174375,-62.2854375,LA LIBERTAD AVANZA,519.0,46.55,FUERZA PATRIA,303.0,27.17,SOMOS BUENOS AIRES,127.0,11.39,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,59.0,5.29,UNION Y LIBERTAD,26.0,2.33,POTENCIA,23.0,2.06,VALORES REPUBLICANOS,18.0,1.61,POLITICA OBRERA,14.0,1.26,PARTIDO TIEMPO DE TODOS,7.0,0.63,MOVIMIENTO AVANZADA SOCIALISTA,5.0,0.45,CONSTRUYENDO PORVENIR,5.0,0.45,UNION LIBERAL,5.0,0.45,FRENTE PATRIOTA FEDERAL,3.0,0.27,PARTIDO LIBERTARIO,1.0,0.09,ES CON VOS ES CON NOSOTROS,0.0,0.0,19.379999999999995,0.46653827636013473,0.4761467889908257,11.809174311926606,19.189908256880734,8.035715590488225,"[8, 9)"
C.E.N.S. N°454,AV. COLON E/ AVELLANEDA Y BOLIVIA 1233,7PC9+2H,CENTRO EDUCATIVO NIVEL SECUNDARIO Nº454,-38.7299375,-62.281062500000004,LA LIBERTAD AVANZA,291.0,39.17,FUERZA PATRIA,288.0,38.76,SOMOS BUENOS AIRES,53.0,7.13,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,40.0,5.38,POTENCIA,18.0,2.42,UNION Y LIBERTAD,14.0,1.88,PARTIDO LIBERTARIO,11.0,1.48,POLITICA OBRERA,9.0,1.21,VALORES REPUBLICANOS,7.0,0.94,PARTIDO TIEMPO DE TODOS,5.0,0.67,CONSTRUYENDO PORVENIR,3.0,0.4,MOVIMIENTO AVANZADA SOCIALISTA,3.0,0.4,FRENTE PATRIOTA FEDERAL,1.0,0.13,ES CON VOS ES CON NOSOTROS,0.0,0.0,UNION LIBERAL,0.0,0.0,0.4100000000000037,0.009870004814636584,0.26697247706422017,10.135779816513761,16.470642201834863,7.806441515855164,"[7, 8)"
Centro De Adultos Nº722,MALDONADO 2046,7MHR+6H,CENTRO DE ADULTOS Nº722 BARRIOS DEL SUR,-38.721937499999996,-62.3085625,LA LIBERTAD AVANZA,209.0,39.89,FUERZA PATRIA,191.0,36.45,SOMOS BUENOS AIRES,42.0,8.02,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,24.0,4.58,UNION Y LIBERTAD,12.0,2.29,VALORES REPUBLICANOS,11.0,2.1,POTENCIA,11.0,2.1,POLITICA OBRERA,10.0,1.91,FRENTE PATRIOTA FEDERAL,5.0,0.95,CONSTRUYENDO PORVENIR,4.0,0.76,PARTIDO TIEMPO DE TODOS,3.0,0.57,MOVIMIENTO AVANZADA SOCIALISTA,2.0,0.38,ES CON VOS ES CON NOSOTROS,0.0,0.0,PARTIDO LIBERTARIO,0.0,0.0,UNION LIBERAL,0.0,0.0,3.4399999999999977,0.08281174771304761,0.19174311926605506,9.53394495412844,15.492660550458716,6.114580133458081,"[6, 7)"
Centro De Formac.Profes.N°402,NECOCHEA 1015,7Q99+QF,CENTRO DE FORMACIÓN PROFESIONAL Nº402 LA PIEDAD,-38.730562500000005,-62.2313125,LA LIBERTAD AVANZA,200.0,46.19,FUERZA PATRIA,142.0,32.79,SOMOS BUENOS AIRES,42.0,9.7,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,16.0,3.7,UNION Y LIBERTAD,10.0,2.31,VALORES REPUBLICANOS,6.0,1.39,POTENCIA,5.0,1.15,POLITICA OBRERA,5.0,1.15,FRENTE PATRIOTA FEDERAL,2.0,0.46,MOVIMIENTO AVANZADA SOCIALISTA,2.0,0.46,CONSTRUYENDO PORVENIR,1.0,0.23,UNION LIBERAL,1.0,0.23,PARTIDO TIEMPO DE TODOS,1.0,0.23,ES CON VOS ES CON NOSOTROS,0.0,0.0,PARTIDO LIBERTARIO,0.0,0.0,13.399999999999999,0.3225806451612903,0.1834862385321101,9.46788990825688,15.38532110091743,7.513955110471697,"[7, 8)"
Centro De Formac.Profes.N°404,DEAN FUNES 280,7JH5+35,CENTRO DE FORMACIÓN PROFESIONAL Nº404,-38.7223125,-62.3920625,FUERZA PATRIA,16.0,47.06,LA LIBERTAD AVANZA,9.0,26.47,SOMOS BUENOS AIRES,6.0,17.65,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,2.0,5.88,VALORES REPUBLICANOS,1.0,2.94,FRENTE PATRIOTA FEDERAL,0.0,0.0,ES CON VOS ES CON NOSOTROS,0.0,0.0,MOVIMIENTO AVANZADA SOCIALISTA,0.0,0.0,CONSTRUYENDO PORVENIR,0.0,0.0,PARTIDO LIBERTARIO,0.0,0.0,PARTIDO TIEMPO DE TODOS,0.0,0.0,POTENCIA,0.0,0.0,POLITICA OBRERA,0.0,0.0,UNION LIBERAL,0.0,0.0,UNION Y LIBERTAD,0.0,0.0,20.590000000000003,0.4956668271545499,0.014678899082568808,8.11743119266055,13.190825688073394,7.230622257181516,"[7, 8)"
Colegio Americano,SIXTO LASPIUR 1039,7PJ6+VF,COLEGIO AMERICANO,-38.7178125,-62.2888125,LA LIBERTAD AVANZA,502.0,44.58,FUERZA PATRIA,321.0,28.51,SOMOS BUENOS AIRES,123.0,10.92,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,54.0,4.8,POTENCIA,32.0,2.84,VALORES REPUBLICANOS,32.0,2.84,UNION Y LIBERTAD,31.0,2.75,POLITICA OBRERA,16.0,1.42,UNION LIBERAL,7.0,0.62,PARTIDO TIEMPO DE TODOS,3.0,0.27,FRENTE PATRIOTA FEDERAL,2.0,0.18,MOVIMIENTO AVANZADA SOCIALISTA,2.0,0.18,CONSTRUYENDO PORVENIR,1.0,0.09,ES CON VOS ES CON NOSOTROS,0.0,0.0,PARTIDO LIBERTARIO,0.0,0.0,16.069999999999997,0.3868560423688011,0.46055045871559636,11.684403669724771,18.987155963302754,7.902242999436892,"[7, 8)"
Colegio Internacional Del Sol,DARRAGUEIRA 45,7PGH+QF,COLEGIO INTERNACIONAL DEL SOL,-38.72306250000001,-62.2713125,LA LIBERTAD AVANZA,343.0,45.19,FUERZA PATRIA,243.0,32.02,SOMOS BUENOS AIRES,81.0,10.67,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,34.0,4.48,UNION Y LIBERTAD,16.0,2.11,POTENCIA,14.0,1.84,VALORES REPUBLICANOS,10.0,1.32,POLITICA OBRERA,9.0,1.19,MOVIMIENTO AVANZADA SOCIALISTA,4.0,0.53,CONSTRUYENDO PORVENIR,3.0,0.4,FRENTE PATRIOTA FEDERAL,1.0,0.13,PARTIDO TIEMPO DE TODOS,1.0,0.13,ES CON VOS ES CON NOSOTROS,0.0,0.0,PARTIDO LIBERTARIO,0.0,0.0,UNION LIBERAL,0.0,0.0,13.169999999999995,0.3170438131921039,0.3146788990825688,10.51743119266055,17.090825688073394,8.175707127201509,"[8, 9)"
Colegio La Inmaculada (ep/es),BERUTTI 379,7PFM+XC,COLEGIO LA INMACULADA,-38.7250625,-62.266437499999995,LA LIBERTAD AVANZA,745.0,45.9,FUERZA PATRIA,499.0,30.75,SOMOS BUENOS AIRES,157.0,9.67,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,79.0,4.87,POTENCIA,44.0,2.71,UNION Y LIBERTAD,24.0,1.48,POLITICA OBRERA,16.0,0.99,VALORES REPUBLICANOS,15.0,0.92,UNION LIBERAL,14.0,0.86,MOVIMIENTO AVANZADA SOCIALISTA,10.0,0.62,PARTIDO TIEMPO DE TODOS,9.0,0.55,FRENTE PATRIOTA FEDERAL,6.0,0.37,CONSTRUYENDO PORVENIR,5.0,0.31,ES CON VOS ES CON NOSOTROS,0.0,0.0,PARTIDO LIBERTARIO,0.0,0.0,15.149999999999999,0.36470871449205583,0.6834862385321101,13.46788990825688,21.88532110091743,8.089637098734663,"[8, 9)"
Colegio Maria Auxiliadora,RONDEAU 75,7PJH+WW,INSTITUTO MARIA AUXILIADORA,-38.71768750000001,-62.2701875,LA LIBERTAD AVANZA,659.0,50.89,FUERZA PATRIA,329.0,25.41,SOMOS BUENOS AIRES,130.0,10.04,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,55.0,4.25,POTENCIA,40.0,3.09,UNION Y LIBERTAD,28.0,2.16,VALORES REPUBLICANOS,20.0,1.54,POLITICA OBRERA,11.0,0.85,UNION LIBERAL,10.0,0.77,MOVIMIENTO AVANZADA SOCIALISTA,4.0,0.31,CONSTRUYENDO PORVENIR,3.0,0.23,PARTIDO LIBERTARIO,3.0,0.23,PARTIDO TIEMPO DE TODOS,2.0,0.15,FRENTE PATRIOTA FEDERAL,1.0,0.08,ES CON VOS ES CON NOSOTROS,0.0,0.0,25.48,0.6133846894559462,0.6045871559633027,12.836697247706422,20.859633027522936,8.211120470492759,"[8, 9)"
Colegio Ntra.Sra.De Pompeya,TENIENTE FARIAS ESQ. 25 DE MAYO 795,7P7G+2Q,ESCUELA NUESTRA SEÑORA DE POMPEYA,-38.7374375,-62.2730625,LA LIBERTAD AVANZA,348.0,41.88,FUERZA PATRIA,272.0,32.73,SOMOS BUENOS AIRES,75.0,9.03,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,47.0,5.66,UNION Y LIBERTAD,26.0,3.13,VALORES REPUBLICANOS,15.0,1.81,POTENCIA,14.0,1.68,POLITICA OBRERA,11.0,1.32,UNION LIBERAL,10.0,1.2,PARTIDO TIEMPO DE TODOS,6.0,0.72,MOVIMIENTO AVANZADA SOCIALISTA,4.0,0.48,CONSTRUYENDO PORVENIR,2.0,0.24,FRENTE PATRIOTA FEDERAL,1.0,0.12,ES CON VOS ES CON NOSOTROS,0.0,0.0,PARTIDO LIBERTARIO,0.0,0.0,9.150000000000006,0.22026961964371705,0.3192660550458716,10.554128440366974,17.15045871559633,7.348104321457024,"[7, 8)"
