party,votes,percentage,city,school,table_number,table_scrutinized
LA LIBERTAD AVANZA,105,45.45,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
FUERZA PATRIA,62,26.83,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
SOMOS BUENOS AIRES,37,16.01,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,8,3.46,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
POTENCIA,6,2.59,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
UNION Y LIBERTAD,4,1.73,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
POLITICA OBRERA,3,1.29,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
UNION LIBERAL,3,1.29,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
PARTIDO TIEMPO DE TODOS,2,0.86,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
FRENTE PATRIOTA FEDERAL,1,0.43,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
MOVIMIENTO AVANZADA SOCIALISTA,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
CONSTRUYENDO PORVENIR,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
PARTIDO LIBERTARIO,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
VALORES REPUBLICANOS,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
ES CON VOS ES CON NOSOTROS,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00518,100.0
LA LIBERTAD AVANZA,103,45.77,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
FUERZA PATRIA,49,21.77,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
SOMOS BUENOS AIRES,28,12.44,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,17,7.55,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
VALORES REPUBLICANOS,9,4.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
POTENCIA,6,2.66,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
UNION Y LIBERTAD,6,2.66,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
POLITICA OBRERA,4,1.77,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
FRENTE PATRIOTA FEDERAL,2,0.88,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
MOVIMIENTO AVANZADA SOCIALISTA,1,0.44,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
PARTIDO TIEMPO DE TODOS,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
CONSTRUYENDO PORVENIR,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
PARTIDO LIBERTARIO,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
ES CON VOS ES CON NOSOTROS,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
UNION LIBERAL,0,0.0,Bahia Blanca,Asoc.Alborada Ens.Especial,00519,100.0
LA LIBERTAD AVANZA,91,41.74,Bahia Blanca,Asoc.Alborada Ens.Especial,00520,100.0
FUERZA PATRIA,69,31.65,Bahia Blanca,Asoc.Alborada Ens.Especial,00520,100.0
FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,16,7.33,Bahia Blanca,Asoc.Alborada Ens.Especial,00520,100.0
SOMOS BUENOS AIRES,11,5.04,Bahia Blanca,Asoc.Alborada Ens.Especial,00520,100.0
